======== Coverage for /home/runner/work/avalanche/avalanche/avalanche/ =========
------------------------------ Detailed Coverage -------------------------------
| Name                                                                                 |  Status |
|--------------------------------------------------------------------------------------|---------|
| _annotations.py (module)                                                             | COVERED |
|   experimental (L13)                                                                 | COVERED |
|     experimental.decorator (L35)                                                     |  MISSED |
|       experimental.decorator.wrapper (L44)                                           |  MISSED |
|   deprecated (L52)                                                                   | COVERED |
|     deprecated.decorator (L63)                                                       |  MISSED |
|       deprecated.decorator.wrapper (L82)                                             |  MISSED |
|--------------------------------------------------------------------------------------|---------|
| core.py (module)                                                                     |  MISSED |
|   BasePlugin (L12)                                                                   | COVERED |
|     BasePlugin.__init__ (L35)                                                        | COVERED |
|     BasePlugin.before_training (L41)                                                 | COVERED |
|     BasePlugin.before_training_exp (L45)                                             | COVERED |
|     BasePlugin.after_training_exp (L49)                                              | COVERED |
|     BasePlugin.after_training (L53)                                                  | COVERED |
|     BasePlugin.before_eval (L57)                                                     | COVERED |
|     BasePlugin.before_eval_exp (L61)                                                 | COVERED |
|     BasePlugin.after_eval_exp (L65)                                                  | COVERED |
|     BasePlugin.after_eval (L69)                                                      | COVERED |
|   BaseSGDPlugin (L78)                                                                | COVERED |
|     BaseSGDPlugin.__init__ (L84)                                                     | COVERED |
|     BaseSGDPlugin.before_training_epoch (L90)                                        | COVERED |
|     BaseSGDPlugin.before_training_iteration (L96)                                    | COVERED |
|     BaseSGDPlugin.before_forward (L103)                                              | COVERED |
|     BaseSGDPlugin.after_forward (L107)                                               | COVERED |
|     BaseSGDPlugin.before_backward (L111)                                             | COVERED |
|     BaseSGDPlugin.after_backward (L115)                                              | COVERED |
|     BaseSGDPlugin.after_training_iteration (L119)                                    | COVERED |
|     BaseSGDPlugin.before_update (L126)                                               | COVERED |
|     BaseSGDPlugin.after_update (L130)                                                | COVERED |
|     BaseSGDPlugin.after_training_epoch (L134)                                        | COVERED |
|     BaseSGDPlugin.before_eval_iteration (L140)                                       | COVERED |
|     BaseSGDPlugin.before_eval_forward (L147)                                         | COVERED |
|     BaseSGDPlugin.after_eval_forward (L153)                                          | COVERED |
|     BaseSGDPlugin.after_eval_iteration (L157)                                        | COVERED |
|     BaseSGDPlugin.before_train_dataset_adaptation (L164)                             | COVERED |
|     BaseSGDPlugin.after_train_dataset_adaptation (L170)                              | COVERED |
|     BaseSGDPlugin.before_eval_dataset_adaptation (L176)                              | COVERED |
